No.,Entity_Name,Region,Description,Business,Services,Website,Address,Contact_Person,Tel,Fax,Email,Others,Role1,Role_Description1,Product1,Quantity1,Price1,Role2,Role_Description2,Product2,Quantity2,Price2,Role3,Role_Description1,Product3,Quantity3,Price3
84,PT. SAMUDERA SULAWESI SEJAHTERA,Indonesia,"PT. SAMUDERA SULAWESI SEJAHTERA is a dynamic trading company based in Sulawesi, Indonesia. With a strong focus on delivering high-quality products and services, we have established ourselves as a reliable and trustworthy partner in the trading industry. Our dedication to excellence, combined with our extensive experience and industry knowledge, sets us apart from the competition.","Producer, Distributor","1. Manufacturer
2. Trading Company
3. Distributor/Wholesaler",https://id19025897229vvdu.trustpass.alibaba.com/,"Jl. Nipa-Nipa Lama No.1, Makassar, 
Propinsi Sulawesi Selatan, Indonesia",Mr. INDRA BACHTIAR,,,,"Established: 2023
Total Annual Revenue: US$1 Million - US$2.5 Million",Supplier,,"I. Seafood
i. Fish
1. Tuna
2. Red Snipper Fish 
3. Mackerel
4. Cuttlefish
5. leather Jacket Fis
6.  Grouper Fish
7. Mahi Mahi
ii. Shrimp
iii. Crab

II. Spices
1.  lemongrass 
2.  galangal
3. Dried Clove
4. Ginger
5. Dried Tamarind Herb
","1. High Quality Marine Product (Frozen Whole Around Skipjact Tuna Any Size) Competitive Price From Makassar City South Sulawesi: $1,550.00-1,600.00, Min. Order: 12 metric tons
2. High Quality Product Frozen Whole Yellowfin Tuna 30kg Up Competitive Price From Makassar City Indonesia: $5.00-6.00, Min. Order: 11000 kilograms
3. Direct Makassar City South Sulawesi Indonesia Fresh Yellowfin Tuna Loin Preserved Dried Competitive Price-Thunus Fillet: $13.00-14.00, Min. Order: 500 kilograms
4. High Quality Product Fresh Red Snipper Fish Competitive Price From Makassar City South Sulawesi Indonesia: $6.00-7.00, Min. Order: 500 kilograms",,,,,,,,,,,
85,CV. SURYA JAVA FURNINDO,Indonesia,"Producer and exporter of furniture, decoration, crafts and related products. Located in Semarang and Jepara, Indonesia. We're looking for the serious wholesales, buyers and agent. We would like to offer to sell our product based on our collection or custom designs. We have been exporting our products and would like to expand the market to some countries and we've the competitive negotiable prices with the low to high end levels. The products we have been produce are:1. Wooden outdoors furniture 2. Wooden indoors furniture (including the minimalist furniture, rustic furniture and antique furniture)3. Iron-wood garden furniture and stainless steel garden furniture4. Root furniture 5. Wooden flooring, gazebo and house6. Wooden doors7. Wooden furniture accesories8. Wooden handicrafts and education toys9. Wooden statue and figurine10. Wooden relief and story boards11. Wooden calligraphy and other wall decoration12. Wooden plan box13. Wooden traditional house and wall (gebyok)14. Copper, aluminum, brass products 15. Calligraphy (including the wooden, brass and bronze calligraphy)16. Petrified wood products17. Stone products18. Rattan products19. Resin products20. Leather furniture and another products 21. Recycled wood furnitureWe have been using the natural woods as our raw material, such as teak, mahogany, and the other local woods. We accepting the customs design and accepting also for hotel projects. Looking forwards to hearing you promptly and wish we can establish a good and long term business cooperation relationship with you in the near future.Please your discussion my quotation for you, but I am happy doing business cooperation relationship with you.Warm regards,Johan LesmanaCV. SURYA JAVA FURNINDOWebsite : www.suryajava.comOnline catalogue : https://www.flipsnack.com/SJFurnindo/surya-java-furnindo-olc.htmlMobile : +62 813 27 942088Fax : +62 24 76745139","Producer, Distributor",1. Manufacturer,"https://www.suryajava.com
https://www.flipsnack.com/SJFurnindo/surya-java-","Jl. Sapta Prasetya Utara XII / 90, 
Semarang, Propinsi Jawa Tengah, Indonesia","Mr. Johan Lesmana
Producer and exporter",,,,"Established: 2015
Total Annual Revenue: US$2.5 Million - US$5 Million",Supplier,,"I. Seafood
i. Fish
1. Tilapia
2. Cuttlefish

II. Furniture","1. Hot Sale 100% Hand Cut IQF Natural Mild Taste Indonesia Frozen And Fresh Slice For Steak Meat
White TIlapia Fillet Fish: $15.00-20.00, Min. Order: 20000 kilograms
",,,,,,,,,,,
86,LEMBAGA PEMBIAYAAN EKSPOR INDONESIA,Indonesia,"KOMODOIN is a program of Indonesia Eximbank, a financial institution under the Government of the Republic of Indonesia according to Act No.2 Year 2009. We promote Indonesian products and commodities from curated suppliers to the international market. We provide advisory service programs enabling Indonesian SMEs to produce high-quality products sustainably.",Distributor,Government ministry/Bureau/Commission,https://www.indonesiaeximbank.go.id/,"Prosperity Tower, 1st floor District 8, SCBD,,Lot 28 Jl. Jend. Sudirman Kav 52-53, South Jakarta, Jakarta Raya, Indonesia",Mr. Komodoin by LPEI,,,,"Established: 2009
Total Annual Revenue: US$50 Million - US$100 Million",Supplier,,"I. Seafood
i. Fish
1. Tuna
ii. Shrimp

II. Snack and Drink

III. Fruit and Vegetables
1. Mangosteen
2. Raw Cashew Nuts

IV. Agricultural
1. Coffee
2. Nut

V. Spices
1. Cocoa Powder
2. Candlenut
3. Natural Cassia Cinnamon Vera Sticks 
4. Cinnamon Powder
5. White Cardamom

VI. Daily Product
","1. Tuna Fish Price Ingredients Fresh Catching Nature Processing IQF 75 - 100 MT/Monthly Supply Capacity Frozen Tuna Indonesia: $3.00, Min. Order: 12600 kilograms
",,,,,,,,,,,
87,PT ANDALAN EKSPOR INDONESIA,Indonesia,"PT Andalan Ekspor Indonesia is Global Social Enterprise CompanyAEXI
 Collaborates with all stakeholders, Local companies and Indonesia Ministries to develop and distributing Indonesia Local Product to Global Market and Awarded as Indonesia Presidential Choice from International Council for Small Business (ICSB) on August 2020. ""Committing to support SME's developing their business for global market""","Producer, Distributor","1. Manufacturer
2. Trading Company
3. Distributor/Wholesaler",http://aexi.id,"GRAND SLIPI TOWER JL. LETJEN S. PARMAN,, DKI Jakarta, Jakarta Raya, Indonesia",Mr. Andalan Ekspor Indonesia,,,,"Established: 2018
Total Annual Revenue: US$1 Million - US$2.5 Million",Supplier,,"I. Seafood
i. Fish
1.  Red Coral Hind Fish
2. Macan Merah Fresh
3.  Mackarel
4. Red Snapper 
5.  BLACK POMFRET FISH
6.  Black Tilapia fish 
7. Sardine

II. Fruit and Vegetables
1. Fresh Mangosteen
2. Vanilla Beans

III. Agricultural
1. Coffee
2. Nutmeg
3. White Pepper
IV. Snack and Drink
V. Furniture
VI. Fertilizer

","1. 170-226 gr Fresh Frozen Fillet Red Snapper Indonesia Fish Chef's Choice, Global Palates, Perfect for Premium Menus and Venues: $4.90-5.20, Min. Order: 1000 kilograms
2. Best Quality Dried White Sardine Custom label For Market Sale: $4.00-10.00, Min. Order: 500 kilograms
",,,,,,,,,,,
88,BWE (M) SDN. BHD.,Malaysia,"Commencing from 2010, we are a food exporting company based in Penang, 
Malaysia with a mission of showcasing Malaysian food products and fruits globally. We have been involved and exporting in this field for more than a decade now, hence we are well versed with the international trade rules and regulations & documentations. Our main product has always proudly been Malaysia's national fruit: Durian, Musang King. We have been dealing and exporting durians for a number of years now, be it fresh or frozen. Also, we still do offer a wide variety of durians strains in Malaysia, feel free to reach out to us to know more. Besides, we do supply other Malaysian Fruits, Malaysian Seafood, Malaysian Cooking Pasta & Paste, Instant Noodles, Malaysian Biscuits and more to come. Ultimately, our vision was always to build a company & culture whereby we can share various of our Malaysian food & fruits here to different countries out there. While in a way, to help promote the name of Malaysia. Thus, dive into know more about us. Feel free to reach out and contact us.","Producer, Distributor","Manufacturer, Distributor/Wholesaler",https://bwefood.my,"2-1-31, 2-2-31, 2-3-31, ONE SQUARE, 
Tingkat Mahsuri 1, Bayan Lepas, Pulau Pinang, Malaysia",Mr. BWE M,,,,"Established: 2010
Total Annual Revenue: US$1 Million - US$2.5 Million",Supplier,," I. Seafood
i. Fish
1. Malaysia Grouper Coral Trout 
ii. Shrimp
iii. Crab

II. Pet Food
III. Fruit and Vegetables
1.  Premium
2. Watermelon
3.  Passion Fruit 
4. Sweet Taste Ciku",1. Super Quality Frozen Seafood Malaysia Grouper Coral Trout Chinese Food Delicacy Tender Grouper Fillet: ,,,,,,,,,,,
89,LSK FISHERY SDN. BHD.,Malaysia,"We are a foodstuffs export company based in Malaysia which specializing in dried
 seafood. Our company has more than 20 years experience in manufacturing and exporting dried sea products to various countries. We are in the position to supply you with quality dried anchovy, dried shrimp, dried fish, salted fish, and fish meal.Our company also manufactures and exports tamarind paste (with and without seeds). For further information, please do not hesitate to contact us.","Producer, Distributor","Manufacturer, Trading Company, Distributor/Wholesaler",http://www.lskfishery.my,"No. 42, Lorong Perda Utama 9, Bandar 
Perda,, Bukit Mertajam, Pulau Pinang, Malaysia","Mr. Edison Lim
Business Representative",,,,"Established: 2005
Total Annual Revenue: US$2.5 Million - US$5 Million",Supplier,,"I. Seafood
i. Fish
1. Anchovy
2. Dried Croaker Fish
3. Mackerel
4. Queenfish
5. Threadfin Fish
6.  Red Snapper 
ii. Shrimp
iii. Processed Seafood","1. Top Selling Wholesale Dried Anchovy Fillet Trans Fat Free And Low Salt Dried Seafood In Piece Shape 18 Months 
Long Shelf Life: $3.00-10.00, Min. Order: 100 kilograms
2. Wholesale Price Sliced Salted Mackerel Bulk Packaging Pieced Shape Cooking Use Type Use In Asian Cuisine Dried Salted Fish: $2.00-6.00, Min. Order: 100 kilograms
3. Guaranteed Quality Wholesale Dried Salted Queenfish Bulk Packing Fillet Part Salted Fish Salty Taste Natural Organic Seafood: $2.00-6.00, Min. Order: 100 kilograms
4. Outstanding Price Tasty Dry Fillet Fish Salted Threadfin Fish Bulk Packaging Premium Grade Fish Weight Customizable Available$2.00-6.00, Min. Order: 100 kilograms
5. Top Selling Wholesales Dried Salted Red Snapper Salted Fish For Cooking Use Salty Fillet Part Dried Style Fish Bulk Packing: $2.00-6.00, Min. Order: 100 kilograms
6. Leading Wholesales Cheapest Price Dried Salted Spanish Mackerel Halal Organic Dried Mackerel Fillet In Bulk Packaging Sun Dried: $2.00-6.00, Min. Order: 100 kilograms",,,,,,,,,,,
90,HAI KEE HUNG SDN BHD,Malaysia,,Distributor,"Manufacturer, Trading Company, Distributor/Wholesaler",http://www.hkh.com.my,"Kuala Lumpur, Malaysia",Mr. KANG POK WAI,,,,"Established: 1994
Total Annual Revenue: US$5 Million - US$10 Million",Supplier,,"I. Seafood
i. Processed Seafoood
1. Fish Ball
2. Octopus cake
3. Cuttlefish Ball
4. Nikudo Fish Fillet Burge","1. Best Selling 250g Nikudo Fish Fillet Burger (Pollock Fish) Mild and Delicate Flavor Lends Loved By People of All Ages: $98.00, Min. Order: 1060 cartons

",,,,,,,,,,,
91,"YELIN ENTERPRISE CO., LTD.",Taiwan,,Distributor,Distribution Service,,"6th Floor, Number 70 Min Chuan West
 Road, Taipei, Taiwan, R.o.c., Taiwan, China",,,,,Established: 1978,Supplier,,"I. Seafood
i. Fish
1. Tilapia
2. Milkfish
3. Mahi Mahi
4. Oilfish
5. Blue Shark
6.  Wahoo
7.Opah fish 
8.  Swordfish
9. Squid
ii. Shrimp","1. Frozen Mahi Mahi Fillet: $2.75-2.80, Min. Order: 20000 pounds
2. frozen Oilfish steak: $6.70-6.75, Min. Order: 11000 kilograms 
3.Blue Shark fillet: $2.20-2.25, Min. Order: 11000 kilograms
4. Opah fish fillet: $1.10-1.23, Min. Order: 20000 pounds
5. Frozen Swordfish Steak: $3.40-3.50, Min. Order: 20000 pounds",,,,,,,,,,,
92,"SHUENN CHANG FISHERY CO., LTD.",Taiwan,,Distributor,Distribution Service,,"No. 15, Hexiang St., Qianzhen Dist., Kaohsiung, City, Taiwan, China",,,,,Established: 2013,Supplier,,"I. Seafood
i. Fish
1. Swordfish
2. Tuna
3.  wahoo
4. red drum
5. Bass
6. squid
7. willow fish
8. moro shark
9. Mahi Mahi
10. Frozen Mackerel","1. Frozen Swordfish Fillets: $1.00-10.00, Min. Order: 25 tons
2. sea frozen yellowfin tuna: $1.60-1.65, Min. Order: 15000 kilograms
3. wild caught customization wahoo fish fresh steaks: $1.00-10.00, Min. Order: 25 tons
4. wild caught Whole fish frozen whole frozen willow fish: $1.00-10.00, Min. Order: 25 tons 
5. Frozen Mackerel: $5.00-6.00, Min. Order: 5000 kilograms

",,,,,,,,,,,
93,CHUN CHENG FISHERY ENTERPRISE PTE LTD,Singapore,"Chun Cheng Fishery was founded in 1994. The company has gone a long way from its humble beginning to become one of Singapore's leading processors, exporters and distributors of frozen fish and seafood products worldwide.Chun Cheng Fishery offers generic (non-labelled) products and private labels (contract processing) by working closely with processing companies, wholesalers, distributors, supermarkets, caterers & retailers.The company processes frozen fish for consumers in the US, Japan, Korea, Europe Russia and Brazil, and engages in custom contract processing in which it cuts, fillets, steaks and vacuum packs items like tuna steaks for some of the biggest frozen fish distributors worldwide. Its range of frozen fish varieties includes yellow fin tuna, swordfish, moro shark, blue shark, marlin, oil fish, mahimahi and mackerel as well as other seafood products. These come in options that include dressed, headed and gutted, gilled and gutted, fillets, loins, chunks and steaks.","Producer, Distributor",Manufacturer,https://chuncheng.com/,"1 Fishery Port Rd, Singapore, Singapore",Ting Chen,,,,"Established: 1994
Total Annual Revenue: US$50 Million - US$100 Million",Supplier,,"I. Seafood
i. Fish
1. Oilfish
2. Swordfish
3. Tuna
4. COD Fish
5. Salmon
6.  Marlin","1. Oilfish Fillet Smooth Skin Whole Fish with Rough Skin ISO Certified HACCP Bulk Packed Frozen Seafood Ivory 
Coast Canned Style: $4.80-6.80, Min. Order: 1000 kilograms
2. Wild-Caught Swordfish Bulk High Grade IQF Frozen Indian Ocean Fish 24 Months Shelf Life Fresh Dried Canned Cooked Patterned: $4.00-6.00, Min. Order: 1000 kilograms
3. Wholesale Natural Wild-Caught Low-Fat Bulk 20KG UP Typical Nutritious Frozen Seafood Albacore Tuna Belly: $1.00-50.00, Min. Order: 1000 kilograms 
4. Various Size IQF Frozen Natural HACCP ISO GMP Certificate Steak Fish Cod from Antarctic Pacific Ocean: $1.00-50.00, Min. Order: 1000 kilograms
5. Nutritious Frozen Fillet Salmon Fish With IQF Freezing Process Packing In Box From Chun Cheng Fishery: $3.40-5.60, Min. Order: 1000 kilograms
6. 24 Months Shelf Life Frozen Sliced Orange Salmon Portion With 150-450G And 450G UP Size: $4.20-5.30
Min. Order: 1000 kilograms
7. Pink Salmon Sashimi Grade Frozen Sliced Portion With Nutritious Feature Good For Health From chun Cheng Fishery: $5.50-7.50, Min. Order: 1000 kilograms
8. Sugiyama DWT IQF Frozen Block from Ivory Coast Fish Pattern Marlin Packaged in Bulk: $1.00-50.00
Min. Order: 1000 kilograms",,,,,,,,,,,
94,"
FISH INTERNATIONAL SOURCING HOUSE PTE LTD",Singapore,"Headquartered in Singapore, FISH is an international seafood company with 4 processing facilities in China, Indonesia, Japan and Malaysia and sales offices in Brunei, Hong Kong, Singapore and Taiwan. Backed by over 50 years of experience, FISH specialises in the manufacturing, distribution, import and export of high quality deep frozen seafood products to the USA, China, the EU, the Middle East, Russia and Southeast Asia. Through an effective and efficient procurement, production and distribution system, the company aims to deliver the best quality seafood products to its customers","Producer, Distributor","Manufacturer, Distributor/Wholesaler",http://www.fishgroup.com.sg,"18 Boon Lay Way,10-155 TradeHub 21, Singapore",Mr. Jansen Chua,,,,"Established: 2004
Total Annual Revenue: US$50 Million - US$100 Million",Supplier,,"I. Seafood
i. Fish
1. Swordfish
2. Sashimi Tuna
3. Shellfish
4. Cuttlefish, Octopus & Squid
5. Mahi Mahi
6. Kingfish
7. Oilfish
8. WAHOO
9.Moonfish
10. BLACK MARLIN
ii. Shellfish
iii. Crab
iv. Mollusks
v. Shrimp
","1. Organic Skinless Trans-Fat Free Frozen Sea Food Sashimi Loin Tuna Fish From Singapore: $7.40-14.00
Min. Order: 10000 kilograms
2. Vacuum Pack Packaging Decaffeinated Nutritious Frozen Seafood Mahi Mahi Fillet Part: $5.50-5.80
Min. Order: 10000 kilograms
3. Nature Nutritious Singapore-Sourced IQF Sea Frozen Kingfish Loin Sugar-Free and Low-Sodium Vacuum-Packed Small Portions:$7.90, Min. Order: 10000 kilograms
4. Frozen Seafood Organic Nature Frozen Oilfish Fillet in Bag Bag Packaging with 18 Months Shelf Life IQF Frozen: $4.75-5.80, Min. Order: 10000 kilograms 
5. FROZEN WAHOO LOINS Fish 70lbs/ctn Packaging with 18 Months Shelf Life IQF Frozen Seafrozen Grade from SG: $3.00-3.50, Min. Order: 10000 kilograms
6. Top Rated Seafood Exporter Organic Low Sodium Frozen Moonfish Opah Loins Big Block From Singapore: $1.70-1.80, Min. Order: 10000 kilograms
7. High Quality Low-Sodium Low-Sugar Seafood Fish Frozen Premium Tuna Saku From Singapore: $9.00-15.00
Min. Order: 10000 kilograms
",,,,,,,,,,,
95,Jeollanamdo Provincial Government,South Korea,,Distributor,Wholesaler,,"32, Deokchung 2-gil, Yeosu-si, Jeollanam-do, Republic of Korea",Junin Choi,,,,"Established: 2022
Annual export revenue (USD): 51591000",Supplier,,"I. Seafood
i. Fish
1. Salmon
ii. Abalone
iii. Seaweed
II. Snack and Drinks
III. Poultry and Livestock
1. Chicken
IV. Daily Product
","1. Fish Fillet Raw salmon sea bream healthy food flounder rockfish delicious and chewy sashimi korea seafood baborang: $39.80, Min. Order: 1 kilogram",,,,,,,,,,,
96,ACHIM,South Korea,,Distributor,Distribution Service,,"Gyeonggi-do, South Korea",MOON KUYNGDUCK,,,,,Supplier,,"I. Seafood
i. Fish
1. Salmon

II. Poultry and Livestock
1. Chicken

","1. Achim Salmon Steak Salmon Fish Seafood Fillet Portions Loins Steaks Slices Private Label For Wholesale Price: $2.20, Min. Order: 400 pieces
",,,,,,,,,,,
97,MASI TRADING,Australia,"MASI Trading specialises in the supply of global premium 
natural and certified organic food & health product ingredients for the international food & health industries.We have also become experts at the logistics involved with land and ocean shipments and will arrange for the movement of the product, so that you can focus on your own business. We offer both containerized and LCL shipments in a range of packaging options. Delivering personal service through coordinated teamwork is the backbone of our sales commitment. Our sales and logistics teams are connected at every stage of the process as we coordinate the movement and international delivery of trade products from one side of the globe to the other.MASI Trading was founded in 2007 by Mark Sgro. Our head office is located in Melbourne, Victoria, Australia, we have our South American office in Sao Paulo, Brazil and European office in Rome, Italy. Our expert trading teams have many years of experience sourcing products from a variety of international origins. Many of our traders are native to the countries with which we have business relationships, allowing them to have a better knowledge of the clients specific country and needs.MASI Trading's extensive worldwide network of suppliers, processors and partners makes us a benifit partner in the organic and natural food industries. For manufacturers and suppliers, we are the experienced partner for their entry into the growing organic and natural food ingredient market.WE WILL BE THE SOLUTION!","Producer, Distributor","Manufacturer, Distributor/Wholesaler",http://masitrading.com,"Werribee, Melbourne, Victoria, Australia","Mr. Mark Sgro
Owner/Entrepreneur",,,,"Established: 2018
Total Annual Revenue: US$5 Million - US$10 Million",Supplier,,"I. Agricultural
i. Fresh
1. Wheat
2. Barley Feed
ii. Processed Product
1. Organic Wheat Flour
2.  White Bakers Flour
II. Fruit and Vegetables
III. Snack and Drinks
IV. Medicine","1. Australian Premium White Wheat - APW: $184.05-368.10, Min. Order: 100 tons
2. Australian Standard White - ASW: $184.05-368.10, Min. Order: 100 tons
3. Australian Hard Wheat AH1: $184.05-368.10, Min. Order: 100 tons
4. Organic Wheat Flour: $981.60-1,227.00, Min. Order: 20 tonnes 
5. Australian organic wheat flour: $981.60-1,227.00, Min. Order: 20 tonnes 
6. Vital Wheat Gluten - Australia: $2,500.00-3,500.00, Min. Order: 20 tons
7. Durum Wheat Flour: $580.64-897.35, Min. Order: 24 tons
8. Durum Wheat Semolina: $527.85-897.35, Min. Order: 24 tons
9. Rolled wheat - Australia: $460.13-613.50, Min. Order: 15 tons

",,,,,,,,,,,
98,Zestco Inc,Canada,"We are top leading North American distributor and we 
specialize in all kind of products of top quality. Do contact us for more details","Producer, Distributor","Manufacturer, Trading Company, 
Buying Office, Agent",http://newcom.com,"730 Bolingbroke Drive, Milton, Ontario, Canada",Atif Kareem,,,,"Established: 2017
Total Annual Revenue: US$10 Million - US$50 Million",Supplier,,"I. Agricultural
i. Fresh
1. Wheat
2. Barley Feed
ii. Processed Product
1. Wheat Bread Flour 
iii. Animal Feed 
1. Wheat Straw","1. Premium Whole Wheat Bread Flour All Purpose Flour for Bakery Use Dried Dry Milling Available 
in Bulk or Bag Wholesale Prices: $140.00-190.00, Min. Order: 25 tons 
2. Bulk Quantity Wholesale Supplier Best Quality Organic Whole Wheat Grain For Sale In Cheap Price: $100.00-110.00, Min. Order: 25 tons
3. Wheat Flour, Healthy Original Flavour Without Additives Wheat Flour Price: $170.00-230.00
Min. Order: 25 tons
4. High Quality Organic Durum Wheat Whole Nutrition Hard Texture Grain Natural Pure for Food Usage Top Export Grade: $160.00, Min. Order: 25 tons
5. Best Quality Organic White Wheat Gluten Whole Wheat Flour Cake Flour Dried Dry Milling Available Bulk Bag Direct Wholesale Price: $180.00, Min. Order: 25 tons
6. High Quality Pure Organic Durum Wheat Soft Whole Wheat Grains for Sale at Cheap Wholesale Price for Food and Animal Feed: $150.00, Min. Order: 25 tons
7. Wholesale Price Supplier of Wheat Straw Hay / Alfalfa Hay (Animal Feed) Bulk Stock With Fast Shipping: $65.00, Min. Order: 25 tons",,,,,,,,,,,
99,AAZURI TRADING LTD,Canada,"We are a trading company and we deal in various kinds of 
products. We have top quality products. Kindly contact us for more details","Producer, Distributor","Manufacturer, Trading Company, 
Buying Office, Agent, Distributor/Wholesaler",,"13-3120 Rutherford road, Concord, Mato Grosso, Brazil",David Ferreira,,,,"Established: 2010
Total Annual Revenue: US$10 Million - US$50 Million",Supplier,,"I. Agricultural
i. Fresh
1. Wheat
2. Red sorghum
ii. Processed
iii. Animal Feed
","1. High Protein Rapeseed Meal Best Quality Dried Animal Feed in Pellets De-oiled Wheat & Rice Bran for Fish Dogs Pigs Cattle: $190.00, Min. Order: 24 tons
2. High Quality Dried Wheat Bran for Animal Feed Best Material Price-Direct from Manufacturer: $217.00, Min. Order: 24 tons
3. High protein chicken feed yellow wheat for animal feed bran corn gluten meal: $190.00, Min. Order: 24 tons 
4. Best selling Wheat Bran/Cottonseed Meal/ Rice Bran for sale: $190.00, Min. Order: 24 tons
5. PURE quality Wheat grain Wholesale High manufacturer new Best material With cheap rate: $200.00, Min. Order: 24 tons
6. Top quality Wheat grain Wholesale High manufacturer new Best material With cheap rate: $200.00
,Min. Order: 24 tons",,,,,,,,,,,
100,Henan Ousheng International Trading Pty Ltd,China,"Founded in 2011, Henan Ousheng International Trading is 
one of the largest wholesaler/exporters specializes in FMCG products in China. We offer branded confectionery, such as Dove, Snickers, Kit-Kat, Ferrero, Mars, Skittles, Nestle, Chips Ahoy, Oreo, Wrigley; beverages, such as Coca Cola, Pepsi, Monster, Schweppes, Minute Maid, Starbucks; snacks, such as Lay's, Pringles, Cheetos, Pretz, Pejoy, Orion, Want Want etc. to our customers from our warehouse in Zhengzhou/Guangzhou, China. Additionally, we have extensive experience in supplying deep-frozen goods and present a wide range of well-known brands of ice-cream. We are also the authorised distributor of a wide range of Chinese local food products such as Chill Sauce, instant noodle, mochi, marshmallow, river snail rice noodle, spicy stripe etc.To our customers belongs supermarket chains, wholesalers, distributors, small and large private shops. Please feel free to reach out and discuss any of your esquires from China, Ousheng can be your partner and we can literally source anything you need from China.",Distributor,Trading ,,"Room 2203, 22 / F, Building 4, Yard 2, Jinger Road, 
Zhengzhou, Henan, China",Ms. MENGTING FENG,,,,Established: 2011,Supplier,,"I.Agricultural
i. Fresh
1. Wheat

II. Instant Food
","1. Wheat bran pellets for feeding farm animals High quality Natural product Animal feed Low Price: $220.00, Min. Order: 100 tons
2. High Quality Wheat With a lot of useful elements Wheat Grain: $260.00, Min. Order: 100 tons
",,,,,,,,,,,
101,CV RASDI AND CO,Indonesia,"CV Rasdi and Co was established on 1985 as local spices 
trading company.In 1999 CV.Rasdi & Co was started to export betel nut to south asia countries at the beginning due to huge demand and huge supply from the market.Indonesian spices has a unique taste and aroma such as cloves, cardamond, nutmeg, black pepper, white pepper,cassia vera, cloves stem, mace, gambier, fresh ginger, sappan woods and malvanuts.We are focus on exporting spices raw material to fulfil world wide demand.",Distributor,Distribute Service,http://www.rasdico.com,"Jalan Adinegoro No. 38, Padang, Sumatera Barat, Indonesia","Ms. Rima Sari
Manager",,,,"Established: 1985
Total Annual Revenue: US$1 Million - US$2.5 Million",Supplier,,"I. Agricultural
i. Processed
1. Wheat Flour
ii. Nut

II. Flavour

","1. Indonesian Cassia Vera Broken KABC Wheat Flour Honey Flavored Bread Flour: $4,600.00
Min. Order: 25 metric tons",,,,,,,,,,,
102,pioneer-kikaku Corporation,Japan,"Pioneer Kikaku Corporation specializes in ingredients and 
materials for making confectioneries, bread, and pastries.Our main HQ is located in Yokohama, Kanagawa, and as a manufacturer we primarily offer ingredients and materials for making confectioneries, bread, and pastries. We carry an expansive variety of products, including basic confectionery ingredients, such as sugar powder, cocoa powder and other powders. We have silver dragees and other toppings, as well as cake flour and more specialized flours like bread flour and rye. We also carry dry yeast like Shirakami Kodama Yeast Dry G, as well as bread and pastry-making essentials like packaged powdered skim milk and more. Our products are mainly available from retailers and commercial-grade product vendors all over Japan, and our goal is to make products that match the needs of what people in confectionery and bread making want to ""make.""Established in 1991. Bringing the delicious taste of Japan to the world.Bread and pastry-making materials, confectionery-making materials, and confectionary-making equipment.","Producer, Distributor",Manufacturer,https://pioneer-kikaku.co.jp/,"1-15-5, Sachiura, Kanazawa-ku, Yokohama, Kanagawa, Japan",Yui Higuchi,,,,"Established: 1991
Total Annual Revenue: Above US$100 Million",Supplier,,"I. Agricultural
i. Processed
1. Wheat Powder
II. Fruit and Vegetables
III. Flavour","1. Baker Bakery 2024 White Japanese All-Purpose Bread Flour Wholesale Bulk Packaging All-Purpose 
Mill Powder Wheat Flour Supplier: $2.80-12.67, Min. Order: 5 pieces
2. Ready Imported Price Soft Wheat Cake Flour Premixed for Bakery Ingredients for Pastry Mixes Purpose: $1.70-4.42, Min. Order: 10 pieces
3. Mill Baking Asian Bag Bread White Wholesale Price Sale Oem Japanese Cake Supplier Showroom/wheat-flour-buyer Wheat Flour Buyer: $2.80-12.67, Min. Order: 5 pieces",,,,,,,,,,,
103,SCS FOOD MANUFACTURING SDN. BHD.,Malaysia,"We are one of the leading food & beverages manufacturing and trading company in Malaysia, our major products is fried shallot, and coconut range of products, including coconut sugar(gula melaka), in solid, powder and in liquid concentrated form, coconut cream powder, coconut milk, desiccated coconut, and many variety of others food products like instant soya drink, spice, and many others","Producer, Distributor","Manufacturer, Trading Company, Distributor/Wholesaler","http://scsfood.com
http://scs-labs.com","54 Jalan 8/91, Shamelin, Kuala Lumpur, Malaysia","Mr. Wong ChewChuan
Market Development Manager",,,,"Established: 2009
Total Annual Revenue: US$1 Million - US$2.5 Million",Supplier,,"I. Agricultural
i. Fresh
1. Wheat Seed
ii. Processed
1. Wheat Flour

II. Snacks","1. 1kg Bakers' Choice Pao Wheat Flour Bao Flour Bulk Bag: $11.90-12.47, Min. Order: 100 cartons
2. 1kg Farmerland Plain Flour Wheat Flour / Tepung Gandum: $17.11-21.38, Min. Order: 100 cartons
3. 9kg Dried Style Quality Wheat Seeds Biji Gandum: $14.47-26.05, Min. Order: 50 bags
",,,,,,,,,,,
104,PRME AGRITECH- ONLINE SHOP,Philippines,,Distributor,Distribution Service,,"MIMAROPA, Philippines",MARK JOHN CADINAS,,,,,Supplier,,"I. Agricultural
i. Fresh
1. Wheat Grain
ii. Processed
1. Wheat Flour
2. Wheat Bran

II. Others","1. High Quality Bread Flour Wheat and Pea Milling Dry Powder Kosher Certified for Bakery and Cooking Packaged in Bag: $450.00, Min. Order: 12500 tons
2. Premium Quality Dried Wheat Bran Bulk Supply for Animal Feed Wholesale: $260.00, Min. Order: 5000 metric tons
3. High Cheap Quality Wheat Grain: $260.00, Min. Order: 12500 metric tons",,,,,,,,,,,
